NumeroForo,AreaDelaminata_mm2,Dmax_mm,DF_diametro,DHAR_Area_Ratio,ShapeFactor,ScalaCalcolata_px_per_mm,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Forza_N
430,11.52476,9.691391,1.615232,0.407605,0.253332,48.308087,0.014516,-1.653073,-2.679998,-1.545461,3.888087,3.014323,3.750299,220.7
431,10.791912,9.619759,1.603293,0.381686,0.243027,48.039012,0.035446,-2.0451,-1.389424,-1.096727,2.38886,2.122276,2.686839,225.7
432,7.820057,8.428573,1.404762,0.276578,0.284149,48.628066,0.182488,-1.034528,-0.924873,-1.821354,3.861462,-2.480941,3.204692,226.4
433,12.37509,9.878928,1.646488,0.437679,0.255815,48.27513,0.004114,-1.34608,-1.654983,-2.422962,4.632976,3.180118,4.590488,225.9
434,9.245419,9.772527,1.628755,0.32699,0.197835,48.735226,0.090715,-1.044526,-1.07136,-1.833963,-3.290769,2.59393,4.143594,217.4
435,11.755152,8.794398,1.465733,0.415753,0.362037,49.067558,-0.008572,-0.781923,-2.513005,-1.252233,-3.135447,-1.80391,-4.397574,229.8
436,19.401506,9.687894,1.614649,0.686188,0.426975,48.686579,-0.180272,-2.699645,-3.874496,-3.017749,-6.365046,-4.47793,-6.721218,228.1
437,20.952631,9.073439,1.51224,0.741048,0.575853,48.707278,-0.19999,-3.280053,-3.021808,-3.155228,-6.487692,-6.283124,-6.204849,245.6
438,13.825032,8.92001,1.486668,0.48896,0.404038,48.690574,-0.100348,-1.886368,-1.566122,-1.221564,4.203667,-2.468635,-2.615535,225.9
439,8.309067,8.994343,1.499057,0.293873,0.235631,48.10633,0.096965,-0.993401,-1.51196,-0.681391,-1.977045,1.685513,-1.888981,229.0
440,14.48207,9.843734,1.640622,0.512198,0.302782,48.236285,-0.064249,-1.358313,-2.51234,-2.24935,-5.328624,-2.993662,4.636833,223.6
441,12.636067,9.896911,1.649485,0.446909,0.25971,48.228219,0.012406,-1.528382,-1.398817,-2.507655,-4.827492,-3.330614,4.503252,220.6
442,13.799063,8.470876,1.411813,0.488042,0.491376,48.399151,-0.055321,-1.813619,-2.175677,-2.029767,-4.259245,-2.948911,4.307834,230.3
443,16.761944,9.627655,1.604609,0.592832,0.376456,48.116989,-0.122036,-1.927576,-2.491235,-2.582597,5.124122,-3.547591,-5.758997,229.7
444,12.972417,9.764996,1.627499,0.458805,0.278274,47.90077,-0.003771,-1.544604,-1.118992,-1.675209,3.521929,3.885196,-3.101511,226.3
445,5.784227,7.785814,1.297636,0.204575,0.299149,47.931771,0.231432,-1.028881,-0.582213,-0.54239,-1.45948,1.059094,-1.151839,230.9
446,8.978686,9.105499,1.517583,0.317556,0.2437,48.191171,0.131436,-1.754711,-0.960182,-1.774472,3.83942,2.651868,-3.150649,227.9
447,16.963011,8.873595,1.478932,0.599944,0.505326,48.890282,-0.122347,-2.335272,-2.197243,-3.193786,-5.85966,4.489799,6.605113,229.5
448,17.677569,9.480232,1.580039,0.625216,0.417779,48.501713,-0.124025,-1.892085,-1.747388,-2.675438,5.469941,-4.340698,4.897856,240.0
449,13.699369,9.397337,1.566223,0.484516,0.333447,48.645518,-0.030128,-2.684516,-2.331985,-2.776081,6.240397,4.458446,-5.323172,234.1
450,22.517166,8.951393,1.491899,0.796382,0.649703,48.877621,-0.226111,-2.861126,-3.090548,-2.73116,-5.685654,-4.556149,-5.899328,226.7
451,7.771182,9.184928,1.530821,0.274849,0.20459,48.084637,0.179325,-0.726381,-1.408858,-0.793478,1.941185,-1.20275,-2.251951,230.7
452,8.36277,9.377446,1.562908,0.295772,0.205016,47.808017,0.141341,-1.25948,-0.72266,-1.08392,-2.19595,2.471432,-2.091849,221.0
453,21.331365,9.244147,1.540691,0.754443,0.549193,47.799138,-0.205155,-2.575391,-2.627711,-2.823781,5.694089,4.216845,5.664636,227.4
454,15.031941,9.020601,1.503434,0.531646,0.421837,48.150422,-0.076463,-3.049105,-2.897641,-2.098075,5.595593,-3.812929,-4.596257,239.0
455,10.589643,9.290193,1.548365,0.374532,0.268014,48.108535,0.064787,-1.752426,-2.326944,-1.713554,3.753647,-2.940411,-4.259953,229.1
456,12.090941,9.297405,1.549567,0.42763,0.305197,47.971968,0.008197,-1.61501,-1.049702,-1.603589,-3.000511,-2.411528,-3.209225,244.5
457,12.179706,9.54822,1.59137,0.430769,0.281097,47.370651,0.020655,-1.85769,-2.034782,-2.089341,-4.172367,-3.118215,4.66128,235.7
458,15.354939,10.255632,1.709272,0.54307,0.282612,47.847948,-0.036364,-1.105108,-2.21877,-2.855198,5.576603,-5.787279,5.488193,233.2
459,10.458371,9.130269,1.521712,0.369889,0.281155,48.470712,0.076291,-1.181173,-1.792847,-2.365433,-4.515591,-4.030278,-4.71596,234.5
